column,name,dtype,semantic,missing_pct,numeric_summary,categorical_summary
ts%,ts%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.5596652599594868, 'median': 0.558, 'std': 0.06161312276385356, 'var': 0.00379617689671369, 'min': 0.329, 'p10': 0.481, 'p25': 0.517, 'p50': 0.558, 'p75': 0.601, 'p90': 0.64, 'max': 0.808, 'skew': 0.12087184789954923, 'kurtosis': -0.064912890204746, 'iqr': 0.08399999999999996, 'mad': 0.04200000000000004, 'outlier_count_iqr': 113}",
efg%,efg%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.52353027233851, 'median': 0.522, 'std': 0.06595140480293336, 'var': 0.004349587795480382, 'min': 0.286, 'p10': 0.44, 'p25': 0.477, 'p50': 0.522, 'p75': 0.567, 'p90': 0.61, 'max': 0.795, 'skew': 0.15951987066545895, 'kurtosis': -0.04470110131054161, 'iqr': 0.08999999999999997, 'mad': 0.04500000000000004, 'outlier_count_iqr': 105}",
3par,3par,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.35400455773126266, 'median': 0.352, 'std': 0.08642259240248415, 'var': 0.00746886447756591, 'min': 0.045, 'p10': 0.244, 'p25': 0.294, 'p50': 0.352, 'p75': 0.412, 'p90': 0.466, 'max': 0.685, 'skew': 0.1408989827095427, 'kurtosis': -0.0335963793230567, 'iqr': 0.118, 'mad': 0.059, 'outlier_count_iqr': 113}",
ftr,ftr,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 0.2633970853027234, 'median': 0.256, 'std': 0.09265413445401685, 'var': 0.008584788631423031, 'min': 0.012, 'p10': 0.152, 'p25': 0.198, 'p50': 0.256, 'p75': 0.32, 'p90': 0.384, 'max': 0.806, 'skew': 0.6005764307259251, 'kurtosis': 0.6684352535061926, 'iqr': 0.122, 'mad': 0.061, 'outlier_count_iqr': 234}",
orb%,orb%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 22.70371370695476, 'median': 22.4, 'std': 7.208533803153529, 'var': 51.96295959120708, 'min': 0.0, 'p10': 13.6, 'p25': 17.6, 'p50': 22.4, 'p75': 27.5, 'p90': 32.18999999999997, 'max': 52.5, 'skew': 0.19507607806043076, 'kurtosis': -0.09587748928444206, 'iqr': 9.899999999999999, 'mad': 4.900000000000002, 'outlier_count_iqr': 105}",
drb%,drb%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 77.29736101733063, 'median': 77.6, 'std': 7.208576781522799, 'var': 51.963579215109604, 'min': 47.5, 'p10': 67.81000000000002, 'p25': 72.5, 'p50': 77.6, 'p75': 82.4, 'p90': 86.4, 'max': 100.0, 'skew': -0.19502915458258088, 'kurtosis': -0.09607744141744634, 'iqr': 9.900000000000006, 'mad': 4.900000000000006, 'outlier_count_iqr': 105}",
trb%,trb%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 50.00086653162278, 'median': 50.0, 'std': 5.257238053131786, 'var': 27.63855194729689, 'min': 31.5, 'p10': 43.3, 'p25': 46.5, 'p50': 50.0, 'p75': 53.5, 'p90': 56.7, 'max': 68.5, 'skew': 0.0001187688168293692, 'kurtosis': -0.009898613516875265, 'iqr': 7.0, 'mad': 3.5, 'outlier_count_iqr': 132}",
ast%,ast%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 59.12686810713482, 'median': 59.5, 'std': 9.92134034447894, 'var': 98.43299423098549, 'min': 21.2, 'p10': 46.3, 'p25': 52.5, 'p50': 59.5, 'p75': 65.9, 'p90': 71.8, 'max': 91.1, 'skew': -0.1395495478083996, 'kurtosis': -0.0672860915234259, 'iqr': 13.400000000000006, 'mad': 6.700000000000003, 'outlier_count_iqr': 98}",
stl%,stl%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 7.787936079225749, 'median': 7.6, 'std': 2.902772309330279, 'var': 8.426087079814641, 'min': 0.0, 'p10': 4.2, 'p25': 5.7, 'p50': 7.6, 'p75': 9.6, 'p90': 11.6, 'max': 21.7, 'skew': 0.3930953130648991, 'kurtosis': 0.181117833536518, 'iqr': 3.8999999999999995, 'mad': 1.9000000000000004, 'outlier_count_iqr': 165}",
blk%,blk%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 8.644879585865406, 'median': 8.2, 'std': 4.32139193179028, 'var': 18.67442822814213, 'min': 0.0, 'p10': 3.4, 'p25': 5.6, 'p50': 8.2, 'p75': 11.3, 'p90': 14.3, 'max': 38.5, 'skew': 0.6220292286213605, 'kurtosis': 0.7297756427658073, 'iqr': 5.700000000000001, 'mad': 2.799999999999999, 'outlier_count_iqr': 240}",
tov%,tov%,float64,"{'inferred_type': 'numeric', 'confidence': 0.95}",0.0,"{'count': 17772, 'missing': 0, 'mean': 12.16950821516993, 'median': 12.0, 'std': 3.374250711413459, 'var': 11.385567863474233, 'min': 1.0, 'p10': 8.0, 'p25': 9.8, 'p50': 12.0, 'p75': 14.4, 'p90': 16.6, 'max': 27.8, 'skew': 0.24908816981388723, 'kurtosis': 0.030715606904097914, 'iqr': 4.6, 'mad': 2.3000000000000007, 'outlier_count_iqr': 122}",
